GEOID20,District
34033020001,6
34033001501,6
34033042009,6
34033000703,6
34033042001,4
34033007001,4
34033030001,6
34033004204,6
34033004206,6
34033004208,6
34033042007,6
34033005002,6
34033070001,6
34033004205,6
34033060E01,6
3403360W001,6
3403360W002,6
34033060E02,6
34033004203,6
34033004202,6
34011ZZZZZZ,6
34011025003,6
34033020002,6
34011060001,6
34011030001,6
34033000702,6
34029025417,8
34029025422,8
34029025415,8
34029060010,8
34029060009,8
34029055014,8
34029055004,8
34029055003,8
34029055001,8
34029055011,8
34029090009,6
34029090040,6
34037120001,11
34005195001,6
34005150012,6
34005150011,6
34005150001,2
34005150014,6
34005150009,6
34005150013,6
34005135002,2
34005135003,2
34005170003,6
34005170006,6
34005170004,6
34005180004,6
34005180001,6
34005170005,6
34021035007,2
34021035004,2
34021030008,2
34021030005,1
34021050004,2
34005180005,6
34005180002,6
34005180003,6
34005170002,6
34005090007,6
34005950009,6
34005090006,6
34005090008,6
34005090003,6
34005105014,6
34005105012,6
34005110001,6
34005110002,6
34029025116,8
34029060013,8
34029060014,8
34029025139,8
34029025102,8
34005110003,6
34005110004,6
34029025104,8
34029060012,8
34029060004,8
34029060006,8
34029060005,8
34029060018,8
34029025332,6
34005105010,6
34005105004,6
34005105013,6
34005025301,2
34005025101,1
34005025302,2
34005105007,6
34005105011,6
34005105003,6
34029060002,8
34005065024,6
34005065008,6
34005065030,6
34005065028,6
34005065019,6
34005065017,6
34005065027,6
34005065029,6
34005065032,6
34005065018,6
34005065015,4
34005065011,6
34005125026,6
34005065020,6
34005065031,6
34005065010,6
34007170006,6
34005065026,4
34005065016,6
34007043034,4
34007170013,4
34007170014,6
34005065002,4
34007043033,4
34005065004,4
34005065014,4
34005065001,4
34005065003,4
34007170015,6
34007170008,4
34007043036,4
34007043046,4
34007170003,6
34007170007,4
34007043047,4
34041070001,5
34041055002,7
34041055001,7
34007170019,4
34007170017,4
34025090004,10
34025140003,10
34025047005,10
34025090009,10
34029060003,8
34007170005,4
34007170002,4
34007170012,4
34007043029,4
34007043030,4
34007170001,4
34007043005,4
34007170018,4
